size_id,width,height,canvas_label
3979,39,79,39 inch x 79 inch(99 cm x 201 cm)
4020,40,20,40 inch x 20 inch(102 cm x 51 cm)
4024,40,24,40 inch x 24 inch(102 cm x 61 cm)
4026,40,26,40 inch x 26 inch(102 cm x 66 cm)
4030,40,30,40 inch x 30 inch(102 cm x 76 cm)
4032,40,32,40 inch x 32 inch(102 cm x 81 cm)
4040,40,40,40 inch x 40 inch(102 cm x 102 cm)
4060,40,60,40 inch x 60 inch(102 cm x 152 cm)
4080,40,80,40 inch x 80 inch(102 cm x 203 cm)
4120,41,20,41 inch x 20 inch(104 cm x 51 cm)
4130,41,30,41 inch x 30 inch(104 cm x 76 cm)
4236,42,36,42 inch x 36 inch(107 cm x 91 cm)
4352,43,52,43 inch x 52 inch(109 cm x 132 cm)
4382,43,82,43 inch x 82 inch(109 cm x 208 cm)
4430,44,30,44 inch x 30 inch(112 cm x 76 cm)
4434,44,34,44 inch x 34 inch(112 cm x 86 cm)
4532,45,32,45 inch x 32 inch(114 cm x 81 cm)
4534,45,34,45 inch x 34 inch(114 cm x 86 cm)
4630,46,30,46 inch x 30 inch(117 cm x 76 cm)
4635,46,35,46 inch x 35 inch(117 cm x 89 cm)
4636,46,36,46 inch x 36 inch(117 cm x 91 cm)
4639,46,39,46 inch x 39 inch(117 cm x 99 cm)
4739,47,39,47 inch x 39 inch(119 cm x 99 cm)
4824,48,24,48 inch x 24 inch(122 cm x 61 cm)
4836,48,36,48 inch x 36 inch(122 cm x 91 cm)
4848,48,48,48 inch x 48 inch(122 cm x 122 cm)
4860,48,60,48 inch x 60 inch(122 cm x 152 cm)
4872,48,72,48 inch x 72 inch(122 cm x 183 cm)
4896,48,96,48 inch x 96 inch(122 cm x 244 cm)
5063,50,63,50 inch x 63 inch(127 cm x 160 cm)
5065,50,65,50 inch x 65 inch(127 cm x 165 cm)
5135,51,35,51 inch x 35 inch(130 cm x 89 cm)
5137,51,37,51 inch x 37 inch(130 cm x 94 cm)
5138,51,38,51 inch x 38 inch(130 cm x 97 cm)
5139,51,39,51 inch x 39 inch(130 cm x 99 cm)
5264,52,64,52 inch x 64 inch(132 cm x 163 cm)
5429,54,29,54 inch x 29 inch(137 cm x 74 cm)
5436,54,36,54 inch x 36 inch(137 cm x 91 cm)
5439,54,39,54 inch x 39 inch(137 cm x 99 cm)
5468,54,68,54 inch x 68 inch(137 cm x 173 cm)
5648,56,48,56 inch x 48 inch(142 cm x 122 cm)
5691,56,91,56 inch x 91 inch(142 cm x 231 cm)
5842,58,42,58 inch x 42 inch(147 cm x 107 cm)
5845,58,45,58 inch x 45 inch(147 cm x 114 cm)
5936,59,36,59 inch x 36 inch(150 cm x 91 cm)
6030,60,30,60 inch x 30 inch(152 cm x 76 cm)
6040,60,40,60 inch x 40 inch(152 cm x 102 cm)
6048,60,48,60 inch x 48 inch(152 cm x 122 cm)
6060,60,60,60 inch x 60 inch(152 cm x 152 cm)
6451,64,51,64 inch x 51 inch(163 cm x 130 cm)
6765,67,65,67 inch x 65 inch(170 cm x 165 cm)
6854,68,54,68 inch x 54 inch(173 cm x 137 cm)
6951,69,51,69 inch x 51 inch(175 cm x 130 cm)
6952,69,52,69 inch x 52 inch(175 cm x 132 cm)
6961,69,61,69 inch x 61 inch(175 cm x 155 cm)
7048,70,48,70 inch x 48 inch(178 cm x 122 cm)
7171,71,71,71 inch x 71 inch(180 cm x 180 cm)
7236,72,36,72 inch x 36 inch(183 cm x 91 cm)
7248,72,48,72 inch x 48 inch(183 cm x 122 cm)
7761,77,61,77 inch x 61 inch(196 cm x 155 cm)
7940,79,40,79 inch x 40 inch(201 cm x 102 cm)
7955,79,55,79 inch x 55 inch(201 cm x 140 cm)
7963,79,63,79 inch x 63 inch(201 cm x 160 cm)
8040,80,40,80 inch x 40 inch(203 cm x 102 cm)
8051,80,51,80 inch x 51 inch(203 cm x 130 cm)
8959,89,59,89 inch x 59 inch(226 cm x 150 cm)
9648,96,48,96 inch x 48 inch(244 cm x 122 cm)
